unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1616803200,3-27-21 0:00,ETH/USDT,1698.710117,1717.777778,1698.710117,1713.8,570782.5723,334.0738082
1616801400,3-26-21 23:30,ETH/USDT,1695,1699.249581,1692.337746,1698.924961,408668.7631,241.0223236
1616799600,3-26-21 23:00,ETH/USDT,1681.371758,1694.762681,1680.355809,1692.821725,936725.1341,556.5528593
1616797800,3-26-21 22:30,ETH/USDT,1685.091396,1685.439019,1676.799127,1682.219681,336005.3026,199.8207217
1616796000,3-26-21 22:00,ETH/USDT,1689.4,1695,1680.831379,1685.851003,385003.2522,228.1165282
1616794200,3-26-21 21:30,ETH/USDT,1670.704128,1690,1669.98408,1689,142020.5645,84.34932205
1616792400,3-26-21 21:00,ETH/USDT,1664.679676,1672.728741,1664.296577,1671.478973,194210.1971,116.5700546
1616790600,3-26-21 20:30,ETH/USDT,1662.5,1671.345281,1662.138518,1664.548904,377934.7903,226.7513287
1616788800,3-26-21 20:00,ETH/USDT,1664.4,1674.340223,1662.939417,1662.939417,386093.2795,231.3445366
1616787000,3-26-21 19:30,ETH/USDT,1657.821056,1664.800456,1655.226661,1664.4226,249769.7486,150.4895172
1616785200,3-26-21 19:00,ETH/USDT,1658.198992,1661.953244,1654.999242,1656.955102,569878.4585,343.5217493
1616783400,3-26-21 18:30,ETH/USDT,1659.536358,1659.83289,1656.110432,1659,399971.4173,241.2062595
1616781600,3-26-21 18:00,ETH/USDT,1664.626628,1665.532176,1654.247199,1659.26117,409058.2948,246.6069053
1616779800,3-26-21 17:30,ETH/USDT,1661.265364,1666.134458,1659.2,1663.722397,259478.024,155.9925746
1616778000,3-26-21 17:00,ETH/USDT,1666.737874,1668.689111,1656.799821,1659.527848,285396.1518,171.6393348
1616776200,3-26-21 16:30,ETH/USDT,1661.407011,1667.713134,1660.940692,1666.571215,808362.5828,485.8008215
1616774400,3-26-21 16:00,ETH/USDT,1642.042427,1661.292717,1635.072108,1660.650314,1269461.882,769.9416331
1616772600,3-26-21 15:30,ETH/USDT,1636.710195,1641.83019,1636.710195,1640,80215.70373,48.93056366
1616770800,3-26-21 15:00,ETH/USDT,1645.6,1645.6,1637.261106,1637.479409,98063.90474,59.71919203
1616769000,3-26-21 14:30,ETH/USDT,1643.1,1647.157019,1639.875061,1644.86024,219401.6844,133.4637642
1616767200,3-26-21 14:00,ETH/USDT,1649.72419,1650.037154,1641.00001,1643.4,171907.3544,104.5293555
1616765400,3-26-21 13:30,ETH/USDT,1630.668007,1650.610861,1630.668007,1647.21436,1229506.56,749.3183993
1616763600,3-26-21 13:00,ETH/USDT,1634.73865,1638.027085,1628.050213,1628.050213,349667.9252,214.1228782
1616761800,3-26-21 12:30,ETH/USDT,1623.957422,1635.796267,1622.058802,1634.642225,91681.32573,56.23943015
1616760000,3-26-21 12:00,ETH/USDT,1618.322406,1629.1134,1613.484427,1623.148386,253885.3923,156.4368558
1616758200,3-26-21 11:30,ETH/USDT,1619.709706,1625.831896,1613.6462,1617.346165,132064.428,81.66396722
1616756400,3-26-21 11:00,ETH/USDT,1625.479436,1627.378637,1617.6,1619.709706,403209.351,248.6715003
1616754600,3-26-21 10:30,ETH/USDT,1622.367822,1626.275433,1617.9,1624.905412,300714.7618,185.2441285
1616752800,3-26-21 10:00,ETH/USDT,1618.965979,1623.300593,1616.7,1622.862415,370646.3853,228.8115412
1616751000,3-26-21 9:30,ETH/USDT,1629,1630.36494,1616.030508,1619.183944,283411.5996,174.7068273
1616749200,3-26-21 9:00,ETH/USDT,1626.2,1629.758268,1623.5,1629.52877,381899.4097,234.9034854
1616747400,3-26-21 8:30,ETH/USDT,1632.5,1635,1623.063414,1625.44808,397849.0004,243.7102109
1616745600,3-26-21 8:00,ETH/USDT,1629.3,1637.109236,1628.078154,1632.641798,295632.2547,181.0374512
1616743800,3-26-21 7:30,ETH/USDT,1615.983535,1636.038574,1615.983535,1629.078281,421926.5118,259.6438296
1616742000,3-26-21 7:00,ETH/USDT,1617.4,1618.221131,1611.093053,1616,293799.4589,182.0122605
1616740200,3-26-21 6:30,ETH/USDT,1618.139008,1623.5,1614.109612,1617.525808,245296.3484,151.4695332
1616738400,3-26-21 6:00,ETH/USDT,1622.789677,1622.987765,1616.915659,1617.673186,263005.5556,162.3706403
1616736600,3-26-21 5:30,ETH/USDT,1620.1,1623.728837,1619.095115,1622.8,57653.39631,35.57347366
1616734800,3-26-21 5:00,ETH/USDT,1620.010121,1626.482862,1617.54625,1620.932761,260967.4746,161.0155533
1616733000,3-26-21 4:30,ETH/USDT,1611.114453,1623.219715,1610.9926,1619.1,198090.2116,122.3764808
1616731200,3-26-21 4:00,ETH/USDT,1617.109967,1621.39492,1610.903083,1611.114443,208736.2049,129.1767517
1616729400,3-26-21 3:30,ETH/USDT,1621.05305,1625.202925,1618.348299,1619.644989,106259.0671,65.54338951
1616727600,3-26-21 3:00,ETH/USDT,1616.80499,1625,1614.788891,1620.322933,447840.5751,276.5996781
1616725800,3-26-21 2:30,ETH/USDT,1619.2,1619.2,1611.359038,1613.037718,200410.3046,124.1280504
1616724000,3-26-21 2:00,ETH/USDT,1627.204878,1628.722248,1613.09675,1620,991675.8564,612.3553823
1616722200,3-26-21 1:30,ETH/USDT,1621.660177,1628.404449,1621.460445,1625.249479,278643.075,171.4355935
1616720400,3-26-21 1:00,ETH/USDT,1621.483429,1627.448562,1615,1622.246384,191489.3033,118.0074297
1616718600,3-26-21 0:30,ETH/USDT,1612.281632,1627.899759,1610.443587,1620.281612,227055.0782,140.4538372
1616716800,3-26-21 0:00,ETH/USDT,1589.145251,1612.201061,1589.145251,1611.6,662034.3347,412.8417885
1616715000,3-25-21 23:30,ETH/USDT,1588.42691,1594.017532,1583.538751,1586.577803,372917.022,235.0386808
1616713200,3-25-21 23:00,ETH/USDT,1583.486126,1593.947293,1583.486126,1588.622815,155545.3001,97.96228386
1616711400,3-25-21 22:30,ETH/USDT,1606.441449,1606.441459,1579.004667,1583.168687,1085474.923,680.6847449
1616709600,3-25-21 22:00,ETH/USDT,1610,1616,1604.591759,1605.583813,403835.0665,250.7890525
1616707800,3-25-21 21:30,ETH/USDT,1602.458393,1609.844863,1601.986361,1608.735049,45317.72236,28.20461818
1616706000,3-25-21 21:00,ETH/USDT,1603.499703,1608.618155,1597.6,1603.040973,637842.8503,397.650897
1616704200,3-25-21 20:30,ETH/USDT,1605.869379,1611.6,1600,1603.579885,181994.71,113.216706
1616702400,3-25-21 20:00,ETH/USDT,1605.244413,1612.68557,1604.997798,1606.691138,970989.7433,603.0918903
1616700600,3-25-21 19:30,ETH/USDT,1607.91,1610.994189,1604.458008,1605.421146,215700.0881,134.1627845
1616698800,3-25-21 19:00,ETH/USDT,1612.775989,1615.366686,1602.310441,1608.477394,348726.3501,216.5812409
1616697000,3-25-21 18:30,ETH/USDT,1608.03202,1627.430057,1606.690497,1611.926417,751703.5255,465.1685164
1616695200,3-25-21 18:00,ETH/USDT,1604.467279,1608.50992,1600.857937,1607.006772,312354.7965,194.5951539
1616693400,3-25-21 17:30,ETH/USDT,1599.740488,1609.13429,1598.341343,1603.690287,195206.5526,121.7016168
1616691600,3-25-21 17:00,ETH/USDT,1593.638802,1603.6228,1588.17223,1601.128867,272841.2335,170.7812683
1616689800,3-25-21 16:30,ETH/USDT,1577.193668,1597.095272,1576.373984,1593.72576,127599.5181,80.32265881
1616688000,3-25-21 16:00,ETH/USDT,1593.561058,1606.99146,1571.357593,1575.698972,1094902.928,689.8147917
1616686200,3-25-21 15:30,ETH/USDT,1589.592965,1602.18447,1583.568828,1594.677332,791277.3959,496.2387478
1616684400,3-25-21 15:00,ETH/USDT,1600.718582,1602.510133,1580.133875,1590.28907,553052.9639,348.0791539
1616682600,3-25-21 14:30,ETH/USDT,1606.99605,1607.086787,1595.061902,1600.58,685987.3867,428.6605705
1616680800,3-25-21 14:00,ETH/USDT,1597.572275,1612.586011,1594.456787,1606.081625,614589.3555,383.3533063
1616679000,3-25-21 13:30,ETH/USDT,1580.62626,1601.531494,1580.62626,1596.796389,1097399.441,687.8409862
1616677200,3-25-21 13:00,ETH/USDT,1578.258426,1582.923149,1562.990286,1580.213936,951173.3103,603.7173403
1616675400,3-25-21 12:30,ETH/USDT,1565.274341,1583.711064,1557.571636,1577.434847,1627508.206,1035.419409
1616673600,3-25-21 12:00,ETH/USDT,1593.048802,1599.909499,1554.99836,1565.3563,1176483.814,745.7768764
1616671800,3-25-21 11:30,ETH/USDT,1612.889242,1618.078554,1593.011074,1593.011074,316201.7737,196.7649121
1616670000,3-25-21 11:00,ETH/USDT,1618.405599,1622.310188,1611.754392,1612.475854,530701.7983,328.0744336
1616668200,3-25-21 10:30,ETH/USDT,1609.963015,1618.808404,1606.465856,1618,561975.5445,348.4531667
1616666400,3-25-21 10:00,ETH/USDT,1610.709071,1612.26659,1599.004446,1608.536602,499725.6648,311.2476876
1616664600,3-25-21 9:30,ETH/USDT,1604,1612.281632,1599.840021,1610.036597,590232.7556,367.6539075
1616662800,3-25-21 9:00,ETH/USDT,1598.628888,1603.907093,1591.500696,1603.907093,897013.2287,561.2672229
1616661000,3-25-21 8:30,ETH/USDT,1591.318448,1603.982351,1585.746715,1597.218249,795634.1161,498.1644434
1616659200,3-25-21 8:00,ETH/USDT,1574.306587,1598.27393,1573.748336,1592.112841,780094.1798,493.3337148
1616657400,3-25-21 7:30,ETH/USDT,1588.576758,1592.335331,1573.205343,1573.205343,529203.8052,334.7315715
1616655600,3-25-21 7:00,ETH/USDT,1596.332197,1598.125047,1584.565865,1587.465532,566263.1732,355.4938771
1616653800,3-25-21 6:30,ETH/USDT,1591.056667,1599,1586.84698,1596.480133,258608.2603,162.3141824
1616652000,3-25-21 6:00,ETH/USDT,1588.165582,1598,1587.212617,1592.1,446966.6824,280.3771455
1616650200,3-25-21 5:30,ETH/USDT,1590.101768,1591.5,1584.6178,1587.054644,432747.8553,272.5841825
1616648400,3-25-21 5:00,ETH/USDT,1573.244994,1592.480912,1570.314118,1592.480912,1118194.817,704.8440007
1616646600,3-25-21 4:30,ETH/USDT,1579.373841,1580.859058,1571.231051,1573.324738,352957.257,224.0875748
1616644800,3-25-21 4:00,ETH/USDT,1571.206116,1582.236227,1564,1579.489325,589689.1121,374.6900223
1616643000,3-25-21 3:30,ETH/USDT,1562.645692,1573.066928,1560.563421,1572.5,348357.5517,222.3271996
1616641200,3-25-21 3:00,ETH/USDT,1571.818638,1581.844707,1562.723844,1562.723844,1847225.921,1177.094971
1616639400,3-25-21 2:30,ETH/USDT,1573.794675,1580,1565.857415,1571.080801,754863.0476,479.6126907
1616637600,3-25-21 2:00,ETH/USDT,1554.198542,1574.40647,1548.034303,1574.307471,2856849.077,1836.011922
1616635800,3-25-21 1:30,ETH/USDT,1578.541681,1580.749949,1553.271095,1554.327033,1214079.705,775.8605804
1616634000,3-25-21 1:00,ETH/USDT,1591.534136,1592.573912,1578.567773,1578.567773,1271678.701,803.534553
1616632200,3-25-21 0:30,ETH/USDT,1591.275141,1593.299244,1578.413572,1591.780827,919477.0127,580.1041738
1616630400,3-25-21 0:00,ETH/USDT,1582.369787,1597.223988,1573.283081,1591.134337,766964.527,483.192172
1616628600,3-24-21 23:30,ETH/USDT,1593.319227,1597.574283,1582.576271,1582.576271,200499.455,126.248912
1616626800,3-24-21 23:00,ETH/USDT,1587.779196,1595.624932,1576.345059,1593.319227,226951.2562,143.0958876
1616625000,3-24-21 22:30,ETH/USDT,1571.010801,1592.454188,1569.299283,1588.165496,769511.8399,485.541948
1616623200,3-24-21 22:00,ETH/USDT,1612,1612,1544.89,1568.350648,1703456.011,1083.405322
1616621400,3-24-21 21:30,ETH/USDT,1613.95353,1620.213972,1606.094692,1612.194083,419674.2223,260.1384898
1616619600,3-24-21 21:00,ETH/USDT,1612.281632,1620.343041,1598.064232,1615,1081368.081,670.6854257
1616617800,3-24-21 20:30,ETH/USDT,1592.319843,1624.315636,1581.113602,1613.087811,962305.919,600.9185888
1616616000,3-24-21 20:00,ETH/USDT,1635.90666,1636.964705,1590,1593.681491,1632826.135,1012.882822
1616614200,3-24-21 19:30,ETH/USDT,1656.780763,1659.862166,1623.601662,1636.914493,1297967.506,791.2585105
1616612400,3-24-21 19:00,ETH/USDT,1666.483568,1673.332918,1655.71366,1656.780763,804730.519,483.7061865
1616610600,3-24-21 18:30,ETH/USDT,1682.291705,1683.493275,1664.572201,1664.572201,1064562.949,636.5448624
1616608800,3-24-21 18:00,ETH/USDT,1695,1699.872092,1681.904818,1681.904818,637435.0337,376.9391194
1616607000,3-24-21 17:30,ETH/USDT,1701.034985,1707.183504,1695.463873,1695.463873,640911.4018,376.2692141
1616605200,3-24-21 17:00,ETH/USDT,1702.379571,1708.263,1693.791917,1702.921065,266429.0384,156.5625706
1616603400,3-24-21 16:30,ETH/USDT,1709.4,1712.556513,1700,1700.471266,353220.838,206.7537423
1616601600,3-24-21 16:00,ETH/USDT,1721.1,1725.709294,1707.662967,1709.582791,639121.9437,372.7128315
1616599800,3-24-21 15:30,ETH/USDT,1721.963922,1723.01284,1712.735084,1721.1,412083.028,239.9885794
1616598000,3-24-21 15:00,ETH/USDT,1724.400545,1728,1720.349541,1721.96381,261268.2094,151.4760598
1616596200,3-24-21 14:30,ETH/USDT,1722.298237,1727.274541,1721.125518,1721.2,236162.0778,136.980906
1616594400,3-24-21 14:00,ETH/USDT,1724.378828,1728.074028,1720.486706,1722.217803,667157.2161,386.886419
1616592600,3-24-21 13:30,ETH/USDT,1731.714649,1735.126278,1716.739499,1724.64564,449626.2991,260.3043975
1616590800,3-24-21 13:00,ETH/USDT,1733,1735,1729,1731.627988,541329.6281,312.6206645
1616589000,3-24-21 12:30,ETH/USDT,1730.99998,1735.936268,1730.824082,1733.162416,132067.948,76.17505544
